identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers
8851,10,8.7013486,22.79,0.0549,87.013486,1,1
8841,15,7.083433333333333,21.69,0.0115,106.2515,1,1
8872,6,2.7416666666666667,6.5,1.04,16.45,1,1
8774,8,3.39299875,5.38,0.05,27.14399,1,1
8787,10,6.4079999999999995,12.55,0.05,64.08,1,1
8838,3,0.7400000000000001,2.0,0.03,2.22,1,1
8781,6,3.1616666666666666,7.25,0.05,18.97,1,1
8821,5,1.5804,2.222,0.88,7.902,1,1
8868,7,3.6955714285714287,6.57,2.089,25.869,1,1
8809,2,6.5,12.0,1.0,13.0,1,1
8870,50,6.55207,17.5,1.69,327.6035,1,1
8858,3,0.39409999999999995,0.969,0.0235,1.1823,1,1
8859,23,8.904846826086956,18.18,0.0235,204.811477,1,1
8869,11,10.468645454545454,31.9,0.988,115.1551,1,1
8780,25,3.75839448,5.5,0.052,93.959862,1,1
8819,8,8.560500000000001,9.72,6.1,68.48400000000001,1,1
8839,9,1.0734000000000001,2.1999,0.05,9.6606,1,1
8871,12,7.0946225,20.65,0.9987,85.13547,1,1
8836,4,1.6955,2.95,0.012,6.782,1,1
8824,6,5.143166666666667,6.06,1.45,30.859,1,1
8804,4,1.765,3.18,0.8,7.06,1,1
8698,5,7.631780000000001,12.851,0.9789,38.1589,1,1
8685,9,5.512922222222222,20.68,0.1111,49.616299999999995,1,1
8718,3,1.7849000000000002,2.0777,1.5,5.3547,1,1
8745,31,5.392839032258064,18.668,0.0888,167.17801,1,1
8766,4,1.9700000000000002,3.2,0.24,7.880000000000001,1,1
8721,0,0.0,0.0,0.0,0.0,0,0
8709,15,8.7052858,12.340687,0.7,130.579287,1,1
8674,7,1.9585352857142857,3.5,0.0469,13.709747,1,1
8773,1,0.099,0.099,0.099,0.099,1,1
8711,20,6.59915,15.95,0.835,131.983,1,1
8747,40,5.255417,11.7498,0.048,210.21668,1,1
8723,21,5.531275714285714,13.26,2.59,116.15679,1,1
8681,5,1.0104199999999999,2.19,0.2222,5.052099999999999,1,1
8694,1,8.75,8.75,8.75,8.75,1,1
8689,28,5.693996785714285,12.7,0.4444,159.43191,1,1
8724,6,3.5431666666666666,8.0,0.059,21.259,1,1
8696,6,10.706616666666667,11.99,8.0,64.2397,1,1
8734,7,9.115142857142859,21.75,0.058,63.806000000000004,1,1
8740,10,4.2328,12.778,1.15,42.328,1,1
8763,7,1.7397142857142858,3.29,0.049,12.178,1,1
8697,22,3.7099954545454548,4.95,0.99,81.6199,1,1
8768,8,9.411,19.0,0.449,75.288,1,1
8714,3,1.8856333333333335,3.4,0.95,5.6569,1,1
8751,10,3.4496900000000004,4.4,0.05,34.496900000000004,1,1
8703,25,7.5624702,14.88,0.81,189.061755,1,1
8717,3,2.1999999999999997,3.0,1.0,6.6,1,1
8743,3,0.32,0.56,0.05,0.96,1,1
8769,19,8.614415368421053,19.88,0.135,163.673892,1,1
8670,7,8.759557142857144,25.79,0.0469,61.316900000000004,1,1
8739,6,1.2253333333333334,2.5,0.04,7.352,1,1
