token_id,name,description,owner,image_url,animation_url,contract_address,chain,token_standard,traits,trait_count,rarity_score,last_sale_price,last_sale_date,current_listing_price,listing_currency,is_listed,rarity_rank
9995,CryptoPunk #9995,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/25107d94f52e416ca0ef40f1d72206/3425107d94f52e416ca0ef40f1d72206.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9978,CryptoPunk #9978,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/17263e3222f96a46cf1425d5519fb1/8117263e3222f96a46cf1425d5519fb1.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9991,CryptoPunk #9991,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/f909bb0d0b1a2237c799c114db4ce8/bff909bb0d0b1a2237c799c114db4ce8.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9997,CryptoPunk #9997,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/ade49855cc897e94ef46a7c0a2d6fa/afade49855cc897e94ef46a7c0a2d6fa.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9961,CryptoPunk #9961,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/058f73c55a450ed22f05fe5912bee6/6e058f73c55a450ed22f05fe5912bee6.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9986,CryptoPunk #9986,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/40c43d6be2c7f8036e6c36ca20aa12/4640c43d6be2c7f8036e6c36ca20aa12.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9993,CryptoPunk #9993,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/f1b57169e993c02b38521770a3b52a/e5f1b57169e993c02b38521770a3b52a.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9982,CryptoPunk #9982,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/fc6a240603b6b73bdc638d0a15c99c/99fc6a240603b6b73bdc638d0a15c99c.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9976,CryptoPunk #9976,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/adeaab47d1af0dbcd81b213f9a3c17/b7adeaab47d1af0dbcd81b213f9a3c17.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
9970,CryptoPunk #9970,,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9a020c4279288b2e00dbb9ecf89a95/429a020c4279288b2e00dbb9ecf89a95.png,,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,,cryptopunks,[],0,0,,,,,False,4997.5
